Time (s),Amplitude
0.029660,0.009674
0.029705,0.006500
0.029751,-0.000397
0.029796,-0.007538
0.029841,-0.009827
0.029887,-0.004608
0.029932,0.002258
0.029977,0.004730
0.030023,0.003967
0.030068,0.001343
0.030113,-0.003967
0.030159,-0.007935
0.030204,-0.005463
0.030249,0.000122
0.030295,0.002716
0.030340,0.002441
0.030385,0.001434
0.030431,-0.001068
0.030476,-0.004059
0.030522,-0.004120
0.030567,-0.001038
0.030612,0.001099
0.030658,-0.000427
0.030703,-0.002045
0.030748,0.000000
0.030794,0.003021
0.030839,0.003113
0.030884,0.001434
0.030930,-0.000946
0.030975,-0.004913
0.031020,-0.007324
0.031066,-0.002930
0.031111,0.005737
0.031156,0.010284
0.031202,0.007294
0.031247,0.000153
0.031293,-0.006744
0.031338,-0.010040
0.031383,-0.006531
0.031429,0.003387
0.031474,0.012360
0.031519,0.012207
0.031565,0.003754
0.031610,-0.005707
0.031655,-0.011169
0.031701,-0.009857
0.031746,-0.000549
0.031791,0.010651
0.031837,0.014496
0.031882,0.008209
0.031927,-0.003296
0.031973,-0.012421
0.032018,-0.013245
0.032063,-0.004852
0.032109,0.007355
0.032154,0.014435
0.032200,0.011353
0.032245,0.000824
0.032290,-0.009369
0.032336,-0.012421
0.032381,-0.007080
0.032426,0.002533
0.032472,0.010406
0.032517,0.011017
0.032562,0.003876
0.032608,-0.004700
0.032653,-0.008514
0.032698,-0.006683
0.032744,-0.000671
0.032789,0.005554
0.032834,0.007080
0.032880,0.003662
0.032925,-0.000977
0.032971,-0.003418
0.033016,-0.002686
0.033061,-0.000702
0.033107,0.000671
0.033152,0.001465
0.033197,0.001099
0.033243,0.000061
0.033288,0.000244
0.033333,0.000854
0.033379,0.000549
0.033424,-0.000183
0.033469,-0.001648
0.033515,-0.002533
0.033560,-0.001068
0.033605,0.001160
0.033651,0.003571
0.033696,0.004913
0.033741,0.000946
0.033787,-0.005035
0.033832,-0.005829
0.033878,-0.002991
0.033923,0.000793
0.033968,0.005310
0.034014,0.006073
